"","INSTNM","CITY","STABBR","ZIP","CONTROL","ADM_RATE","SAT_AVG","TUITIONFEE_IN","TUITIONFEE_OUT","UGDS","REGION","DEP_INC_PCT_H2","MD_INC_WDRAW_2YR_TRANS_YR4_RT","IND_COMP_4YR_TRANS_YR4_RT","SD_EARN_WNE_P10","FEMALE_WDRAW_4YR_TRANS_YR6_RT","LO_INC_COMP_2YR_TRANS_YR3_RT","NOLOAN_COMP_ORIG_YR4_RT","OPENADMP","PELL_COMP_4YR_TRANS_YR3_RT","DEATH_YR2_RT","NOLOAN_UNKN_ORIG_YR2_RT","NOT1STGEN_WDRAW_ORIG_YR6_RT","HI_INC_YR8_N","CUML_DEBT_P90","C100_L4"
"5318","Academy of Massage and Bodywork","Bear","DE","19701",3,"NULL","NULL","NULL","NULL","95",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","1"
"5319","Academy for Five Element Acupuncture","Gainesville","FL","32601",2,"NULL","NULL","NULL","NULL","NULL",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5320","Academy of Career Training","Kissimmee","FL","34741",3,"NULL","NULL","NULL","NULL","50",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.7581"
"5321","Miami Regional College","Miami Springs","FL","33166",3,"0.8426","NULL","NULL","NULL","638",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5322","Paul Mitchell the School-Miami","Miami","FL","33156",3,"NULL","NULL","NULL","NULL","154",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0476"
"5323","Wolford College","Naples","FL","34108",3,"NULL","NULL","NULL","NULL","NULL",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5324","Aveda Institute-South Florida","Davie","FL","33328",3,"NULL","NULL","NULL","NULL","450",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1471"
"5325","Aveda Institute-Tallahassee","Tallahassee","FL","32304",3,"NULL","NULL","NULL","NULL","513",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.193"
"5326","Shear Excellence Hair Academy","Tampa","FL","33614",3,"NULL","NULL","NULL","NULL","148",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5327","Carlson College of Massage Therapy","Anamosa","IA","52205",3,"NULL","NULL","NULL","NULL","45",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","1"
"5328","MyComputerCareer.edu-Indianapolis","Indianapolis","IN","46278",3,"NULL","NULL","NULL","NULL","208",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5395"
"5329","Z Hair Academy","Overland Park","KS","66223",3,"NULL","NULL","NULL","NULL","159",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0385"
"5330","DiGrigoli School of Cosmetology","West Springfield","MA","1089",3,"NULL","NULL","NULL","NULL","27",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.125"
"5331","Millennium Training Institute","Woburn","MA","1801",3,"NULL","NULL","NULL","NULL","102",1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.72"
"5332","Elevate Salon Institute","Royal Oak","MI","48073",3,"NULL","NULL","NULL","NULL","63",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0217"
"5333","Lakewood School of Therapeutic Massage","Port Huron","MI","48060",3,"NULL","NULL","NULL","NULL","21",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5334","The Salon Professional Academy-Battle Creek","Battle Creek","MI","49015",3,"NULL","NULL","NULL","NULL","47",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"5335","Academy of Hair Design-Springfield","Springfield","MO","65804",3,"NULL","NULL","NULL","NULL","200",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1333"
"5336","Corinth Academy of Cosmetology","Corinth","MS","38834",3,"NULL","NULL","NULL","NULL","120",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5789"
"5337","Southeastern Institute-Charlotte","Charlotte","NC","28217",3,"NULL","NULL","NULL","NULL","251",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.9425"
"5338","Yeshivas Be'er Yitzchok","Elizabeth","NJ","7208",2,"0.8","NULL","10650","10650","43",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5339","Yeshiva Toras Chaim","Lakewood","NJ","8701",2,"0.9841","NULL","12250","12250","222",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5340","Talmudical Seminary of Bobov","Brooklyn","NY","11219",2,"0.9756","NULL","7600","7600","406",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5341","Center for Allied Health Education","Brooklyn","NY","11229",2,"NULL","NULL","21591","21591","393",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.75"
"5342","Monroe 2 Orleans BOCES-Center for Workforce Development","Rochester","NY","14624",1,"NULL","NULL","NULL","NULL","74",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.8182"
"5343","Aveda Fredric's Institute-Cincinnati","West Chester","OH","45069",3,"NULL","NULL","NULL","NULL","213",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0351"
"5344","MyComputerCareer.edu-Columbus","Westerville","OH","43082",3,"NULL","NULL","NULL","NULL","617",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5046"
"5345","CDE Career Institute","Tannersville","PA","18372",3,"NULL","NULL","NULL","NULL","27",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.7778"
"5346","Instituto Educativo Premier","Ponce","PR","730",3,"NULL","NULL","NULL","NULL","188",9,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5959"
"5347","Charleston School of Law","Charleston","SC","29403",3,"NULL","NULL","NULL","NULL","NULL",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
